country,date,inflation_rate,mom_change,yoy_change,ma_3m,stddev_12m
United States,2008-01-10,3.655186,-95.99977280303489618400,-7.15549583554531622700,33.3221910000000000,45.6022988786852037
United States,2008-01-11,89.62437,2351.9783671747484300,-1.94200505802284151900,61.5513386666666667,45.4529592284338729
United States,2008-01-11,1.069575,-98.80660248992545219600,-74.38476863967153493600,31.4497103333333333,45.7350493505012647
United States,2008-01-12,88.69743,8192.7732978052030000,-3.92432310178965901100,59.7971250000000000,45.4271123403831709
United States,2008-01-12,0.0914129,-99.89693850205129957000,-98.17967497645261948400,29.9528059666666667,45.8687651126408235
United States,2009-01-01,89.08348,97351.7600907530556400,-4.01020805308670336900,59.2907743000000000,45.5447766083804482
United States,2009-01-01,0.0298465,-99.96649603270999291900,-99.46703849183312580800,29.7349131333333333,46.0310982319060896
United States,2009-01-02,89.52649,299856.4102993650846800,-3.14625283659646505100,59.5466055000000000,45.7745317257433053
United States,2009-01-02,0.2361911,-99.73617741519856301700,-95.60317432246402778900,29.9308425333333333,46.2140204447615972
United States,2009-01-03,89.74419,37896.4317029727199700,-2.77627193119299449800,59.8356237000000000,45.9853614029185817
United States,2009-01-03,-0.3835562,-100.4273883356683000,-107.7691284477165700,29.8656083000000000,46.4372520413765063
United States,2009-01-04,89.96823,-23556.3357338507368700,-1.53897489517311511300,59.7762879333333333,46.3118214172976243
United States,2009-01-04,-0.7368857,-100.8190510138967900,-120.1600055373379100,29.6159293666666667,46.6850933538420102
United States,2009-01-05,90.22813,-12344.5217759009300900,0.67365606028806673900,59.8198247666666667,46.7381517876084422
United States,2009-01-05,-1.281436,-101.4202178411544200,-219.8079611060467900,29.4032694333333333,46.9425891248122239
United States,2009-01-06,91.00317,-7201.6554865010816000,2.59955671770873180900,59.9832880000000000,47.1437838131989895
United States,2009-01-06,-1.426776,-101.5678310986309600,-1660.8037815231767100,29.4316526666666667,47.2764999273080838
United States,2009-01-07,90.85889,-6468.1257604557407800,1.99297333242931237100,60.1450946666666667,47.4306671572984990
United States,2009-01-07,-2.097161,-102.3081516844416700,-7126.4888680414789000,29.1116510000000000,47.6168506533407561
United States,2009-01-08,91.06267,-4442.1878434702915000,1.71589436824787836500,59.9414663333333333,47.7503832961320102
United States,2009-01-08,-1.484349,-101.6300301759217000,-728.4525538853919600,29.1603866666666667,47.8985952358766929
United States,2009-01-09,91.11962,-6238.6924503603936800,1.53261174901684443300,60.2326470000000000,48.0178855905249357
United States,2009-01-09,-1.286206,-101.4115576864785000,235.3370379621030800,29.4496883333333333,48.0956354843436644
United States,2009-01-10,91.20738,-7191.1953450691413400,1.37731952712640895600,60.3469313333333333,48.2029657421169463
United States,2009-01-10,-0.1828483,-100.20047533434246220000,-75.18634165380058264100,29.9127752333333333,48.1556643044096921
United States,2009-01-11,91.27193,-50016.7506616140264900,1.15684543168521834600,60.7654872333333333,48.2460186539083203
United States,2009-01-11,1.838296,-97.98591308412126269300,-243.4559353725039700,30.9757925666666667,47.9822448166639054
United States,2009-01-12,91.11118,4856.2845156601548400,0.11868817317023132300,61.4071353333333333,47.9916359821250878
United States,2009-01-12,2.721331,-97.01317555101360777000,-290.7328830874643300,31.8902690000000000,47.6391714166330714
United States,2010-01-01,91.42255,3259.4792401218374400,0.62036857373009949800,61.7516870000000000,47.6882005469035986
United States,2010-01-01,2.625709,-97.12794162928074091100,-225.2030244697474300,32.2565300000000000,47.2768548292122508
United States,2010-01-02,91.44534,3382.6913416528640500,0.42022708097621121800,61.8311996666666667,47.3101661699933642
United States,2010-01-02,2.143332,-97.65616049981333111100,-244.3954218313887100,32.0714603333333333,46.9897786044688613
United States,2010-01-03,91.82084,4184.0231937935886700,0.76955983793611079600,61.8031706666666667,47.0509962853887991
United States,2010-01-03,2.313959,-97.47991959123876453300,-279.9057849209224600,32.0927103333333333,46.7300566632571132
United States,2010-01-04,91.98032,3875.0194363858650900,0.84745335300717990100,62.0383730000000000,46.7975485217865155
United States,2010-01-04,2.236447,-97.56855923093113831300,-1323.1161022552575000,32.1769086666666667,46.5818821784862029
United States,2010-01-05,92.05163,4015.9763678727910800,0.85426045006389149400,62.0894656666666667,46.6498787147018068
United States,2010-01-05,2.020986,-97.80450818741612723200,9.93800780723017403100,32.1030210000000000,46.6338359773281227
United States,2010-01-06,91.96176,4450.3412690637144400,0.93356270876965922300,62.0114586666666667,46.7075813279301333
United States,2010-01-06,1.053349,-98.85457933819448431600,-61.29287469991706264300,31.6786983333333333,46.8537850782476902
United States,2010-01-07,91.98116,8632.2587290632069700,0.61101992889062928100,61.6654230000000000,46.9022685492236240
United States,2010-01-07,1.235193,-98.65712391537571389600,-52.95773446333923523100,31.4232340000000000,47.0233451181815280
United States,2010-01-08,92.10816,7356.9852646509492800,0.72482643730123372100,61.7748376666666667,47.0808396055110648
United States,2010-01-08,1.148105,-98.75352520341303094100,-46.43363697271351335200,31.4971526666666667,47.1676621062169235
United States,2010-01-09,92.16174,7927.2919288741012400,0.37126647937439910200,61.8060016666666667,47.1973187313550050
United States,2010-01-09,1.143683,-98.75904795200264231100,-50.57462124436949833600,31.4845093333333333,47.2988184426985143
United States,2010-01-10,92.2765,7968.3633489349758600,0.32200366339234305800,61.8606410000000000,47.3246326955505612
United States,2010-01-10,1.172188,-98.72970041126397295100,-47.58704319843036745300,31.5307903333333333,47.4166088958463695
United States,2010-01-11,92.31532,7775.4704876692134700,0.28645880578106004200,61.9213360000000000,47.4395958813845357
United States,2010-01-11,1.143161,-98.76167791001536906300,-43.43548149269712902500,31.5435563333333333,47.5153955599670321
United States,2010-01-12,92.47396,7989.3207518451031800,0.55697063649064567700,61.9774803333333333,47.5600169453261816
United States,2010-01-12,1.495723,-98.38254682723655394400,41.99690700802867805400,31.7042813333333333,47.5215881628397896
United States,2011-01-01,92.91443,6112.0078383497479100,1.01463169196822479700,62.2947043333333333,47.6030868135008112
United States,2011-01-01,1.631847,-98.24370983064740320700,32.11271436933337543200,32.0140000000000000,47.5686974000639826
United States,2011-01-02,93.37263,5621.8985603429733300,1.37280996602255435300,62.6396356666666667,47.6793807727816953
United States,2011-01-02,2.107585,-97.74282356617779749800,83.57075354606068260300,32.3706873333333333,47.5963452008581950
